ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Panel Type,Native Resolution (pixels),Total Native Resolution (megapixels),Screen Size (inches),Screen Area (square inches),Model Features,Features Enabled in Default On Mode,Features Enabled in Default Sleep Mode,Signal or Data Interfaces,Power Source,On Mode Power (watts),Maximum On Mode Power Limit for Signage Certification (watts),Sleep Mode Power (watts),Maximum Sleep Mode Power Limit for Signage Certification (watts),Off Mode Power (watts),On Mode Power at 12 Lux at 115 Volts (W),On Mode Power at 300 Lux (watts),Monitor Total Energy Consumption at 115 Volts (kWh/yr),Maximum Total Energy Consumption Limit for Monitor Certification (kWh/yr),Maximum Luminance (candelas per square meter),Enhanced-Performance Display?,Color Gamut,Color Spaces Supported,High Dynamic Range (HDR),Display Contrast Ratio  at 0 deg. Horiz. Viewing Angle,Reported Contrast Ratio at -85 Degrees (Left) Horizontal Viewing Angle,Reported Contrast Ratio at +85 Degrees (Right) Horizontal Viewing Angle,USB-C with Power Delivery Supported,Maximum Power Delivery (W),Tiled Display System,Maximum Tiled Configuration,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets Most Efficient 2023 Criteria
2405714,Acer Incorporated,Acer,ASV15-1BP_q,ASV15-1B,",ASV15-1BP,",195133146203;195133163965,Monitor,IPS LCD,3840 x 2160,8.3,15.5,103.3,"Variable Refresh Rate,USB-C,Built-In Speakers","Variable Refresh Rate,Built-In Speakers",None,"HDMI,USB",Ac to dc external power supply,11.76,,0.25,,0.25,,,37.48,52.45,400,Yes,35.3,sRGB,N/A,1000,1,1,No,,No,0,11/30/2021 12:00:00 AM,11/21/2021 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_ASV15-1B_11212022112426I35_7349927,Yes
2350479,Acer Incorporated,Acer,B196L_q,B196L,,,Monitor,TN LCD,1280  x 1024,1.3,19,175.61,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,DVI",Ac to dc internal power supply,10.1,,0.2,,0.1,,,32.4,36.9,250,No,34.4,sRGB,N/A,1000,,,No,,No,0,01/28/2020 12:00:00 AM,11/26/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B196L_11272019143317,No
2353649,Acer Incorporated,Acer,B206HQL_v,B206HQL,"V206HQL_v,V206HQL,",195133024846;195133024853;195133109024;195133109314;195133120265;887899109812,Monitor,TN LCD,900 x 1600,1.4,19.5,160.54,None,None,None,"VGA,DVI",Ac to dc internal power supply,10.76,,0.2,,0.14,,,34.13,34.87,200,No,,None,N/A,600,,,No,,,,04/20/2018 12:00:00 AM,01/16/2020 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B206HQL_01142020110624_7242700,No
2350539,Acer Incorporated,Acer,B206WQL_r,B206WQL,"V206WQL_r,V206WQL,",,Monitor,IPS LCD,1440 x 900,1.3,19.4,170.22,"Built-In Speakers,Other,User Adjustable Backlight",Built-In Speakers,None,"VGA,Other,DVI",Ac to dc internal power supply,9.76,,0.21,,0.14,,,31.14,35.96,250,No,,NTSC,N/A,1000,,,No,,,,11/22/2019 12:00:00 AM,11/28/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B206WQL_03312016093420_6860031,No
2350989,Acer Incorporated,Acer,B206WQL ymdh,B206WQL,"V206WQL  bmd,V206WQL,; V206WQL Rbdf,V206WQL,; V206WQL Tbdf,V206WQL,; V206WQL b,V206WQL,; V206WQL bd,V206WQL,; V206WQL bm,V206WQL,",,Monitor,TFT LCD,900 x 1440,1.3,19.5,170.22,None,None,None,"VGA,DVI",Ac to dc internal power supply,10.39,,0.13,,0.09,,,35.04,35.96,250,No,,None,N/A,1000,,,No,,,,11/26/2019 12:00:00 AM,12/06/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B206WQL_12052019145151_6448327,No
2349361,Acer Incorporated,Acer,B226HQL_q,B226HQL,,,Monitor,TN LCD,1920  x 1080,2.1,21.5,198.08,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,Display,HDMI,USB",Ac to dc internal power supply,11.8,,0.3,,0.2,,,37.9,42.7,250,No,31.5,sRGB,N/A,1000,,,No,,No,0,01/28/2020 12:00:00 AM,11/01/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B226HQL_11012019162453I24_1126158,No
2352412,Acer Incorporated,Acer,B226HQL_v,B226HQL,"V226HQL_v,V226HQL,",193199104175;195133149853,Monitor,TN LCD,1080 x 1920,2.1,21.5,198.08,Built-In Speakers,None,None,"VGA,DVI",Ac to dc internal power supply,12.41,,0.22,,0.09,,,39.3,42.66,250,No,,None,N/A,1000,,,No,,,,12/30/2016 12:00:00 AM,12/31/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B226HQL_12302019134526_8101617,No
2354166,Acer Incorporated,Acer,B226HQL_r,B226HQL,"V226HQL G_r,V226HQL G,; V226HQL W_r,V226HQL W,; V226HQL_r,V226HQL,",,Monitor,IPS LCD,1920 x 1080,2.1,21.5,197.6,"Built-In Speakers,Other,User Adjustable Backlight",Built-In Speakers,None,"VGA,Other,DVI,Display",Ac to dc internal power supply,13.13,,0.24,,0.18,,,41.62,42.65,250,No,33.0,NTSC,N/A,1000,,,No,,,,08/10/2020 12:00:00 AM,12/16/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B226HQL_01272020151152_7912224,No
2349420,Acer Incorporated,Acer,B226WL_q,B226WL,,193199104014,Monitor,TN LCD,1680  x 1050,1.8,22,217.43,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,DVI,Display,USB",Ac to dc internal power supply,11.3,,0.3,,0.2,,,36.6,42.2,250,No,33.1,sRGB,N/A,1000,,,No,,No,0,01/28/2020 12:00:00 AM,11/05/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B226WL_11052019142447I32_3606062,No
2346827,Acer Incorporated,Acer,B227Q_q,B227Q,,195133138925,Monitor,IPS LCD,1920  x 1080,2.1,21.5,197.6,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,Display,HDMI,USB",Ac to dc internal power supply,10,,0.2,,0.1,,,31.8,42.6,250,No,35.2,sRGB,N/A,1000,,,No,,No,0,01/28/2020 12:00:00 AM,09/20/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B227Q_09202019112425I56_3606062,No
2348823,Acer Incorporated,Acer,B227Q_v,B227Q,"V227Q_v,V227Q,",193199011671;193199104793;193199104809;193199104816;193199104823;193199104847;193199104854;193199139702;193199591975;193199592507;193199593009;195133138215,Monitor,TFT LCD,1920 x 1080,2.1,21.5,193.1,Built-In Speakers,Built-In Speakers,None,"VGA,Display,HDMI",Ac to dc internal power supply,13.18,,0.19,,0.14,,,41.49,42.56,250,No,,None,N/A,3000,,,No,,,,12/11/2019 12:00:00 AM,10/21/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B227Q_10122019141305_127527,No
2350149,Acer Incorporated,Acer,B246HL_q,B246HL,,,Monitor,TN LCD,1920  x 1080,2.1,24,246.17,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,Display,HDMI,USB",Ac to dc internal power supply,11.63,,0.28,,0.19,,,37.3,46.1,250,No,32.8,sRGB,N/A,1000,,,No,,No,0,01/28/2020 12:00:00 AM,11/15/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B246HL_11152019142447I32_3606062,No
2352049,Acer Incorporated,Acer,B246HL_v,B246HL,"CB241H_v,CB241H,; V246HL_v,V246HL,",,Monitor,TN LCD,1080 x 1920,2.1,24,246.62,None,None,None,"VGA,DVI,Display,USB",Ac to dc internal power supply,13.17,,0.32,,0.14,,,42.2,46.1,300,No,,sRGB,N/A,1000,,,No,,,,01/20/2013 12:00:00 AM,12/27/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B246HL_12272019104620_6766626,No
2353650,Acer Incorporated,Acer,B246HQL_v,B246HQL,"V246HQL_v,V246HQL,; VE246Q_v,VE246Q,",195133147484,Monitor,TN LCD,1080 x 1920,2.1,23.6,236.92,None,None,None,"VGA,DVI,Display",Ac to dc internal power supply,13.9,,0.23,,0.17,,,43.93,45.25,250,No,,None,N/A,3000,,,No,,,,04/20/2018 12:00:00 AM,01/16/2020 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B246HQL_01142020105457_3756524,No
2349024,Acer Incorporated,Acer,B246WL_q,B246WL,,,Monitor,IPS LCD,1920  x 1200,2.3,24.1,260.34,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"DVI,Display,HDMI,USB",Ac to dc internal power supply,12.6,,0.3,,0.1,,,40.4,53.4,300,Yes,36.8,sRGB,N/A,1000,60,60,No,0,No,0,01/28/2020 12:00:00 AM,10/28/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B246WL_10282019162451I06_3606062,No
2354308,Acer Incorporated,Acer,B246WL_r,B246WL,"V246WL_r,V246WL,",,Monitor,IPS LCD,1920 x 1200,2.3,24.1,260.34,"Built-In Speakers,Other,User Adjustable Backlight",Built-In Speakers,None,"VGA,Other,DVI,Display,USB",Ac to dc internal power supply,12.03,,0.33,,0.22,,,38.77,48.31,300,No,35.3,NTSC,N/A,1000,,,No,,,,11/22/2019 12:00:00 AM,11/28/2019 12:00:00 AM,"United States, Taiwan, Japan, Canada",ES_20101_B246WL_03112016023531_3731249,No
2351423,Acer Incorporated,Acer,B247W_q,B247W,,,Monitor,IPS LCD,1920 x 1200,2.3,24.1,260.34,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"Display,HDMI,USB",Ac to dc internal power supply,10.8,,0.2,,0.1,,,34.4,52.2,300,Yes,35.3,sRGB,N/A,1000,60,60,No,,No,0,01/28/2020 12:00:00 AM,12/16/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_B247W_12172019164136_9161358,Yes
2349347,Acer Incorporated,Acer,V176L_q,V176L,,,Monitor,TN LCD,1280  x 1024,1.3,17,141.6,Variable Refresh Rate,Automatic Brightness Control,None,"VGA,DVI",Ac to dc internal power supply,8.2,,0.3,,0.1,,,26.7,31.1,250,No,33.2,sRGB,N/A,1000,,,No,,No,0,01/28/2020 12:00:00 AM,11/01/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V176L_11012019152413I51_3606062,No
2349464,Acer Incorporated,Acer,V196HQL_q,V196HQL,,,Monitor,TN LCD,1366  x 768,1,18.5,146.35,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,HDMI",Ac to dc internal power supply,7.5,,0.2,,0.1,,,24.1,30.9,200,No,33.4,sRGB,N/A,700,,,No,,No,0,01/28/2020 12:00:00 AM,11/05/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V196HQL_11052019162413I42_3606062,No
2356042,Acer Incorporated,Acer,V196HQL Ab,V196HQL,"V196HQL Abi, V196HQL Abd,,",,Monitor,TN LCD,1366 x 768,1,18.5,146.35,Variable Refresh Rate,Variable Refresh Rate,None,"VGA,HDMI",Ac to dc internal power supply,8.95,,0.15,,0.07,,,28.3,30.9,200,No,33.6,sRGB,N/A,600,1,1,No,0,No,0,03/31/2020 12:00:00 AM,03/05/2020 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V196HQL_03092020130715_7860795,No
2361418,Acer Incorporated,Acer,V196HQL b,V196HQL,"V196HQL bi, V196HQL bm,,",,Monitor,TN LCD,1366 x 768,1,18.5,146.35,Variable Refresh Rate,Variable Refresh Rate,None,"VGA,HDMI",Ac to dc internal power supply,8.54,,0.14,,0.08,,,26.96,30.9,250,No,33.6,sRGB,N/A,1000,1,1,No,0,No,0,07/29/2020 12:00:00 AM,07/29/2020 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V196HQL_06072020153511_3523122,No
2398327,Acer Incorporated,Acer,V196L_q,V196L,,,Monitor,TN LCD,1280 x 1024,1.3,19,175.61,"Variable Refresh Rate,Built-In Speakers",Automatic Brightness Control,None,"VGA,DVI",Ac to dc internal power supply,9.5,,0.3,,0.1,,,30.6,36.9,250,No,34.4,sRGB,N/A,1000,,,No,,No,0,01/28/2020 12:00:00 AM,11/26/2019 12:00:00 AM,"United States, Switzerland, Taiwan, Japan, Canada",ES_20101_V196L_11262019112441I55_3606062,No
